id_autor,autor_genero,nombre_autor,autor_rating_promedio,cantidad_rating_autor,cantidad_comentarios,id_pais
5050492,Masculino,Lisa Henry,3.9,32157,6293,14
6451816,Masculino,Ella Frank,4.22,124474,17886,14
5360335,Femenino,Amie Kaufman,4.23,224445,46326,14
7742,Femenino,Keri Arthur,4.07,226035,10380,14
837804,Masculino,Steve Toltz,4.03,14622,2263,14
211268,Femenino,Geraldine Brooks,3.93,365958,35113,14
47104,Femenino,Melina Marchetta,4.05,176221,20972,14
38954,Masculino,Shaun Tan,4.27,88262,9729,14
8347,Masculino,Garth Nix,4.05,700117,34118,14
34049,Masculino,John Flanagan,4.32,737516,28185,14
8034143,Masculino,Leisa Rayven,4.12,45749,7066,14
6983012,Femenino,Belle Aurora,4.13,141686,16006,14
6476625,Masculino,Kylie Scott,4.13,248210,24439,14
11466,Masculino,Markus Zusak,4.34,1666012,118502,14
615274,Femenino,Kate Morton,4.05,539058,57636,14
18907,Masculino,Gregory David Roberts,4.24,142933,12392,14
4917067,Femenino,Colleen McCullough,4.17,379174,10661,14
6417,Masculino,James Clavell,4.29,265892,6749,14
7349685,Femenino,Vanessa Garden,3.86,2251,367,14
7141820,Femenino,Lola Stark,4,14528,1173,14
7150198,Femenino,Stacey Nash,3.62,861,190,14
6580884,Masculino,Bec Botefuhr,4.03,28537,2123,14
7373567,Femenino,Lili St. Germain,4.18,78863,8775,14
7276454,Femenino,Nina Levine,4.19,79937,8954,14
7236200,Femenino,Lila Rose,4.18,54444,4424,14
6900,Masculino,Thomas Keneally,4.27,133540,4079,14
60478,Masculino,Marianne Curley,4.1,30210,1960,14
15890,Femenino,Trudi Canavan,4.2,265689,8929,14
1348627,Masculino,Cath Crowley,3.96,38070,5695,14
29655,Femenino,Rhonda Byrne,3.71,329501,12931,14
6872556,Femenino,P.L. Travers,4.05,128379,5457,14
696372,Femenino,Alexandra Adornetto,3.78,110027,7400,14
7949493,Femenino,Kia Carrington-Russell,4.2,1260,386,14
28756,Masculino,John Marsden,4.06,178222,7972,14
17120246,Masculino,Fatih Turgut,5,21,0,14
4849861,Femenino,Belinda Boring,4.1,14423,1454,14
4735144,Masculino,Jay Kristoff,4.34,194593,45100,14
103615,Masculino,Allison Rushby,3.57,6309,761,14
4349837,Masculino,C.S. Pacat,4.24,127334,17933,14
273399,Femenino,Kate Constable,3.94,22131,1030,14
6554179,Femenino,Skyla Madi,4.08,36959,2646,14
72678,Femenino,Catherine Jinks,3.72,26561,3216,14
322069,Femenino,Liane Moriarty,3.98,1762285,132580,14
26878,Femenino,Isobelle Carmody,4.03,55265,3077,14
7077963,Femenino,Rachel Brookes,4.13,8825,1074,14
6547659,Femenino,Carmen Jenner,3.96,29252,4500,14
6217503,Femenino,Maya Cross,3.91,41815,2280,14
4912047,Femenino,Cari Silverwood,3.94,13477,2938,14
13921633,Femenino,K.T. Hanna,4.19,808,119,14
