id_editorial,editorial
1089,Brooklyn Botanic Garden
1090,Brooks Cole
1091,Brost-Heus
1092,Brotherhood of Life
1093,Brotherhood of St. Laurence
1094,Brown Books
1095,Brown Son & Ferguson Ltd.
1096,Brown Walker Press (FL)
1097,Brownstone Books
1098,Bruce Hershenson
1099,Bruno Gm├╝nder
1100,Bruno Gmuender GMBH
1101,Bryn Mawr College
1102,Bryn Mawr Commentaries
1103,"Bryn Mawr Commentaries, Inc."
1104,Bt Bound
1105,btb
1106,Btb Bei Goldmann
1107,Buccaneer
1108,Buccaneer Books
1109,Buchanan Resources
1110,Buchet Chastel
1111,Buchner
1112,Bucknell University Press
1113,Buenaventura Press
1114,Building Blocks
1115,Bulfinch
1116,Bulfinch Press
1117,Bull Publishing Company
1118,Bunker Hill Publishing
1119,Bunker Hill Publishing Inc
1120,Burd Street Press
1121,Bureau of Public Secrets
1122,Burford Books
1123,Burke's Book Store
1124,Burlyman Entertainment
1125,Burt Creations
1126,Burt Franklin and Company
1127,Business Knowledge Architects
1128,Business Plus
1129,Bussi├¿re
1130,"Busted Flush Press, LLC"
1131,Butterfingers
1132,Butterworth-Heinemann
1133,Butterworth-Heinemann Ltd
1134,Byblos
1135,Byron Priess Visual Publications Inc.
1136,C S S Publishing Company
1137,C&T Publishing
1138,C&t Publishing / Kansas City Star Quilts
1139,C. Anderson
1140,C. Bange
1141,C. Winter
1142,C├¡rculo de Lectores
1143,"C├¡rculo de Lectores, S.A."
1144,C├ítedra
1145,C├ítedra/Letras Hisp├ínicas
1146,Caballo Griego Para La Poesia
1147,Cabi
1148,Cabinet
1149,Cachuma Press
1150,Cadogan Guides
1151,Caedmon
1152,Cage Consulting
1153,Cahiers du cin├®ma
1154,Caisson Press
1155,Cal Earth Press
1156,Calabash Press
1157,Calamus Books
1158,Calder Publications
1159,California Bill's Automotive Handbooks
1160,California Native Plant Society
1161,Calman-Levy
1162,Calmann-L├®vy
1163,Calvary Press
1164,CALYX Books
